Season,School,Conference,G,BA,OBPct,R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,OppDP,CS,Picked,SB,IBB,
2021,A&M-Corpus Christi,Southland,36,0.256,0.348,171,"1,140",292,45,9,421,22,153,126,44,16,12,270,34,20,6,37,7,
2021,Abilene Christian,Southland,35,0.285,0.39,252,"1,167",333,67,4,495,29,224,168,41,14,11,291,37,9,8,28,3,
2021,Air Force,Mountain West,29,0.27,0.346,154,997,269,52,7,392,19,139,93,30,14,10,242,20,16,4,31,3,
2021,Akron,MAC,30,0.264,0.352,132,913,241,34,3,329,16,118,99,29,6,20,207,26,14,6,25,1,
2021,Alabama,SEC,36,0.277,0.372,243,"1,250",346,59,3,558,49,220,158,41,16,10,309,21,8,1,22,3,
2021,Alabama A&M,SWAC,18,0.231,0.344,90,523,121,26,6,177,6,73,76,16,5,4,146,8,10,1,27,2,
2021,Alabama St.,SWAC,33,0.304,0.396,251,"1,147",349,65,18,543,31,229,156,26,11,7,266,17,12,1,39,1,
2021,Albany (NY),America East,25,0.252,0.36,127,773,195,29,7,256,6,113,117,20,12,9,204,11,9,4,38,4,
2021,Alcorn,SWAC,18,0.25,0.358,112,589,147,20,3,197,8,91,79,23,4,2,154,9,11,4,23,,
2021,App State,Sun Belt,32,0.245,0.355,169,"1,051",257,42,9,371,18,157,132,57,16,10,259,14,6,3,36,2,
2021,Arizona,Pac-12,35,0.324,0.432,299,"1,247",404,81,15,626,37,276,195,58,22,13,262,37,8,3,19,4,
2021,Arizona St.,Pac-12,32,0.281,0.349,184,"1,098",308,65,7,459,24,170,97,29,21,9,248,25,14,2,30,8,
2021,Ark.-Pine Bluff,SWAC,28,0.219,0.33,122,869,190,35,4,278,15,104,125,21,4,5,270,10,11,5,40,2,
2021,Arkansas,SEC,36,0.287,0.412,306,"1,207",347,53,8,626,70,269,224,47,23,6,322,26,5,5,35,6,
2021,Arkansas St.,Sun Belt,30,0.255,0.361,173,"1,014",259,49,6,404,28,153,133,41,10,9,296,17,6,3,11,5,
2021,Army West Point,Patriot,29,0.255,0.362,144,932,238,45,10,348,15,125,133,29,12,22,230,21,9,4,47,4,
2021,Auburn,SEC,34,0.289,0.379,252,"1,209",349,64,7,592,55,240,165,20,16,10,280,25,13,1,25,7,
